peakID,B,L,pValB,pValL,lowerB,lowerL,upperB,upperL
JC001_6.54,-0.9982220097770766,-0.9141083571557839,9.499617623240723e-06,5.396522090066644e-05,-1.440038664094657,-1.3578251146327136,-0.5564053554594964,-0.47039159967885413
JC002_18.92,-1.9252220558443016,-2.8670872716094737,1.3356180061211733e-17,6.105416052683955e-38,-2.3670387101618817,-3.303494274070167,-1.4834054015267215,-2.4306802691487803
JC003_6.52,1.791941213640112,0.6747116528794701,2.0077585967379773e-15,0.002907885121411076,1.349654362826073,0.23054899361433304,2.234228064454151,1.1188743121446072
JC004_12.63,-0.21588775738566143,1.6188596889844662,0.3356476017795792,8.341363410060448e-13,-0.6553684048893531,1.1754330081193247,0.22359289011803024,2.0622863698496077
JC005_9.47,0.7110539403602237,0.8457800642642501,0.0017093182038214994,0.00018520814887464863,0.26673532118885535,0.4023533833991086,1.155372559531592,1.2892067451293916
JC006_6.47,-1.6822247631751728,-1.4467282602891867,4.185278062293997e-14,2.270412648794483e-11,-2.118631765635866,-1.8707346017718238,-1.2458177607144796,-1.0227219188065493
JC007_17.12,2.2471852850279825,1.5601989017350633,1.0397434476584735e-23,4.4760311393933685e-12,1.8084033532556891,1.118382247417483,2.6859672168002757,2.0020155560526436
JC008_6.50,-1.1689297189282555,-0.2368066570661989,1.5224423176053015e-07,0.29015807323071807,-1.6053367213889487,-0.6755885888384924,-0.7325227164675624,0.2019752747060946
JC009_6.52,-0.9337347359036081,-0.21999600972750188,2.9417742014497182e-05,0.32725029040382303,-1.3717716488087004,-0.6601292903468374,-0.495697822998516,0.2201372708918337
JC010_17.07,0.7768514236855011,0.0132289835422561,0.00018554500536694627,0.9494836781640505,0.36951295026300374,-0.3960245621451814,1.1841898971079983,0.4224825292296936
JC011_17.28,1.5603099630758122,0.8001809090409074,5.133076361911783e-12,0.00040087704622277735,1.117218221967554,0.35708916793264917,2.0034017041840704,1.2432726501491658
JC012_6.51,0.8815483612623398,1.47517624532946,2.6368050912015888e-05,1.841949514245763e-11,0.47043681109214,1.0447983890943726,1.2926599114325397,1.9055541015645476
